stretch_exponent,coefficient_of_variation,adaptive_model_seconds,nonadaptive_model_seconds,uncalibrated_reduction_percent,predicted_reduction_percent,regime
0.0,6.30193113756186e-16,135.3,135.3,0.0,0.0,interpolation
0.008333333333333333,0.015865913682429133,135.60329652193394,135.6810364355702,0.05729607886152933,0.05980374977308951,interpolation
0.016666666666666666,0.03180110297545887,135.91074954528528,136.06934488406407,0.11655478970219924,0.12165602981403292,interpolation
0.025,0.04779875857642982,136.2222886098533,136.46488743986296,0.1777738102166118,0.18555441617735832,interpolation
0.03333333333333333,0.06385197930506417,136.53783903851183,136.8676193460375,0.2409483770532172,0.251493937034455,interpolation
0.041666666666666664,0.07995378533984668,136.85732206021277,137.27748904092135,0.30607128936000416,0.3194670763744476,interpolation
0.05,0.09609713178568792,137.18065494604323,137.69443822499775,0.3731329206739486,0.3894637864140091,interpolation
0.058333333333333334,0.11227492251834947,137.50775115787116,138.1184019479801,0.44212123909377804,0.4614715086530241,interpolation
0.06666666666666667,0.12848002424908375,137.83852050903883,138.54930871585444,0.5130218356219561,0.5354752034570138,interpolation
0.075,0.14470528075130626,138.1728693364977,138.98708061754232,0.5858179605089427,0.6114573879920712,interpolation
0.08333333333333333,0.16094352718988736,138.51070068370223,139.4316334707235,0.6604905673823684,0.6893981822854319,interpolation
0.09166666666666666,0.17718760449284923,138.8519144935265,139.88287698625797,0.7370183648944804,0.7692753631333683,interpolation
0.1,0.19343037370487198,139.1964078104021,140.34071495053252,0.8153778755750027,0.851064425529856,interpolation
0.10833333333333334,0.20966473026208438,139.54407499082768,140.80504542496328,0.8955435015342452,0.9347386512453024,interpolation
0.11666666666666667,0.22588361812810165,139.89480792135427,141.27576096178763,0.9774875966209629,1.0202691841425324,interpolation
0.125,0.24208004373221156,140.248496243109,141.75274883518932,1.061180544603942,1.1076251117801375,interpolation
0.13333333333333333,0.25824708965195425,140.60502758188906,142.23589128672177,1.1465908429154357,1.196773552821102,interpolation
0.14166666666666666,0.27437792798409905,140.96428778283146,142.7250657839183,1.2336851914663693,1.2876797497351722,interpolation
0.15,0.29046583335017395,141.32616114864626,143.22014529091513,1.3224285860216929,1.3803071662609576,interpolation
0.15833333333333333,0.3065041954852065,141.6905306803886,143.72099854985413,1.412784415605903,1.4746175890745894,interpolation
0.16666666666666666,0.3224865313611966,142.05727831974465,144.2274903717887,1.504714563395423,1.5705712330978456,interpolation
0.175,0.3384064967999958,142.42628519180727,144.73948193577652,1.5981795105468621,1.6681268498706492,interpolation
0.18333333333333332,0.3542578975337132,142.7974318473292,145.2568310948164,1.6931384424060756,1.7672418384085695,interpolation
